HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
210.75.240.147:3128,2679.27,,,,,,,
210.75.240.138:3128,2708.18,,,,,,,
200.35.50.89:3028,4406.99,,,,,,,
210.75.240.153:3128,2672.54,,,,,,,
210.75.240.139:3128,2747.76,,,,,,,
212.110.188.219:34408,2720.56,,,,,,,
210.75.240.141:3128,2835.45,,,,,,,
200.26.232.82:3128,4536.12,,,,,,,
202.137.14.57:8085,4575.62,,,,,,,
210.75.240.149:3128,3034.2,,,,,,,
212.110.188.200:34407,3038.89,,,,,,,
3.85.42.63:3128,568.54,,,,,,,
210.75.240.156:3128,3009.44,,,,,,,
210.75.240.154:3128,3140.07,,,,,,,
210.75.240.136:3128,3171.18,,,,,,,
210.75.240.148:3128,3188.25,,,,,,,
212.110.188.218:34407,3220.78,,,,,,,
3.149.235.212:3128,786.96,,,,,,,
212.110.188.192:34408,3261.0,,,,,,,
212.110.188.215:34404,3259.12,,,,,,,
3.133.146.217:5050,824.87,,,,,,,
3.99.190.32:3128,817.13,,,,,,,
212.110.188.217:34406,3503.04,,,,,,,
23.237.210.82:80,1296.43,,,,,,,
212.110.188.205:34403,3528.74,,,,,,,
212.110.188.212:34410,3539.38,,,,,,,
207.246.234.115:4669,3831.14,,,,,,,
3.96.127.225:8082,1172.88,,,,,,,
212.110.188.214:34403,3669.68,,,,,,,
34.222.49.243:3128,632.85,,,,,,,
203.190.46.117:8082,5323.6,,,,,,,
210.75.240.134:3128,3770.92,,,,,,,
3.252.212.40:8080,1304.2,,,,,,,
40.176.42.142:3128,584.73,,,,,,,
35.91.189.245:3128,732.48,,,,,,,
212.110.188.210:34408,3942.69,,,,,,,
3.8.127.210:3128,1508.37,,,,,,,
3.70.233.234:3128,1546.91,,,,,,,
3.71.255.189:3128,1583.27,,,,,,,
212.110.188.196:34403,4046.22,,,,,,,
3.122.235.189:8103,1636.75,,,,,,,
44.246.228.85:3128,449.92,,,,,,,
3.67.92.255:3128,1715.87,,,,,,,
38.147.98.190:8080,1042.1,,,,,,,
34.244.18.129:3128,1144.61,,,,,,,
34.241.21.224:3128,1159.64,,,,,,,
35.152.106.51:8080,1350.76,,,,,,,
35.181.65.119:3128,1318.01,,,,,,,
