Proxy,Timestamp,Score,Success
47.116.126.57:3128,1755020862,0.00,0
47.116.181.146:6379,1755020862,0.00,0
188.132.222.56:8080,1755020862,0.00,0
39.102.214.199:8008,1755020862,0.00,0
47.121.183.107:8443,1755020862,0.00,0
39.101.65.228:1080,1755020862,0.00,0
47.92.194.235:8800,1755020862,0.00,0
47.116.181.146:8443,1755020862,0.00,0
47.116.181.146:8081,1755020862,0.00,0
47.121.183.107:3128,1755020862,0.00,0
47.116.210.163:3128,1755020862,0.00,0
39.102.208.236:9080,1755020862,0.00,0
39.101.65.228:3132,1755020862,0.00,0
39.104.16.201:3128,1755020862,0.00,0
117.54.114.33:80,1755020862,0.00,0
47.116.210.163:9080,1755020862,0.00,0
39.101.65.228:1337,1755020862,0.00,0
47.119.22.92:8008,1755020862,0.00,0
47.116.181.146:9098,1755020862,0.00,0
149.129.255.179:8080,1755020862,0.00,0
47.119.164.33:6379,1755020862,0.00,0
149.129.255.179:18080,1755020862,0.00,0
39.101.65.228:3127,1755020862,0.00,0
8.219.229.53:80,1755020862,0.00,0
39.102.208.23:3128,1755020862,0.00,0
149.129.255.179:1081,1755020862,0.00,0
39.104.16.201:8080,1755020862,0.00,0
47.92.82.167:8080,1755020862,0.00,0
34.87.84.105:80,1755020862,0.00,0
39.104.23.154:8081,1755020862,0.00,0
39.102.208.236:8090,1755020862,0.00,0
47.116.181.146:8090,1755020862,0.00,0
47.92.219.102:6379,1755020862,0.00,0
39.104.23.154:3128,1755020862,0.00,0
47.121.182.36:20002,1755020862,0.00,0
47.121.183.107:9098,1755020862,0.00,0
39.101.65.228:2079,1755020862,0.00,0
47.92.152.43:8118,1755020862,0.00,0
149.129.255.179:119,1755020862,0.00,0
39.104.16.201:8443,1755020862,0.00,0
149.129.255.179:8060,1755020862,0.00,0
47.116.181.146:9080,1755020862,0.00,0
47.99.112.148:8008,1755020862,0.00,0
47.116.181.146:8800,1755020862,0.00,0
149.129.255.179:51,1755020862,0.00,0
47.119.22.92:9098,1755020862,0.00,0
47.92.82.167:3128,1755020862,0.00,0
39.101.65.228:21025,1755020862,0.00,0
39.102.208.236:9098,1755020862,0.00,0
39.102.208.236:8443,1755020862,0.00,0
47.92.219.102:8081,1755020862,0.00,0
39.104.16.201:8081,1755020862,0.00,0
47.121.182.36:8081,1755020862,0.00,0
47.121.183.107:9080,1755020862,0.00,0
39.102.208.236:8080,1755020862,0.00,0
39.101.65.228:20000,1755020862,0.00,0
39.101.65.228:4153,1755020862,0.00,0
8.219.229.53:8008,1755020862,0.00,0
47.119.19.221:80,1755020862,0.00,0
47.116.126.57:8008,1755020862,0.00,0
47.122.5.165:8008,1755020862,0.00,0
47.119.164.33:80,1755020862,0.00,0
149.129.255.179:80,1755020862,0.00,0
8.219.229.53:6379,1755020862,0.00,0
47.92.152.43:8081,1755020862,0.00,0
47.92.82.167:7890,1755020862,0.00,0
39.104.23.154:8443,1755020862,0.00,0
8.219.229.53:59394,1755020862,0.00,0
8.219.229.53:8200,1755020862,0.00,0
8.219.229.53:176,1755020862,0.00,0
39.104.27.89:31281,1755020862,0.00,0
39.101.65.228:2000,1755020862,0.00,0
8.219.229.53:84,1755020862,0.00,0
47.122.31.59:80,1755020862,0.00,0
149.129.255.179:8081,1755020862,0.00,0
39.102.208.23:8080,1755020862,0.00,0
39.101.65.228:33633,1755020862,0.00,0
39.104.23.154:80,1755020862,0.00,0
149.129.255.179:77,1755020862,0.00,0
149.129.255.179:8443,1755020862,0.00,0
47.122.5.165:80,1755020862,0.00,0
47.116.126.57:8081,1755020862,0.00,0
39.101.65.228:19,1755020862,0.00,0
47.122.31.59:8443,1755020862,0.00,0
39.102.208.23:3129,1755020862,0.00,0
149.129.255.179:9091,1755020862,0.00,0
47.99.112.148:8080,1755020862,0.00,0
39.102.208.23:80,1755020862,0.00,0
39.101.65.228:4006,1755020862,0.00,0
39.104.23.154:8080,1755020862,0.00,0
39.104.16.201:9098,1755020862,0.00,0
39.101.65.228:3129,1755020862,0.00,0
47.122.31.59:3128,1755020862,0.00,0
39.104.23.154:9080,1755020862,0.00,0
39.102.208.23:10002,1755020862,0.00,0
103.169.132.70:8085,1755020862,0.00,0
47.116.126.57:8443,1755020862,0.00,0
47.119.20.8:8081,1755020862,0.00,0
47.122.5.165:8081,1755020862,0.00,0
47.116.126.57:8118,1755020862,0.00,0
39.101.65.228:80,1755020862,0.00,0
101.200.158.109:9080,1755020862,0.00,0
39.104.27.89:8080,1755020862,0.00,0
39.102.209.121:80,1755020862,0.00,0
83.222.184.91:3128,1755020862,0.00,0
39.102.209.121:8008,1755020862,0.00,0
39.101.65.228:5678,1755020862,0.00,0
47.122.5.165:999,1755020862,0.00,0
39.104.27.89:8004,1755020862,0.00,0
39.101.65.228:10808,1755020862,0.00,0
8.219.229.53:8081,1755020862,0.00,0
101.200.158.109:8080,1755020862,0.00,0
47.119.19.221:8080,1755020862,0.00,0
139.224.186.221:80,1755020862,0.00,0
139.224.186.221:1111,1755020862,0.00,0
37.120.162.180:42824,1755020862,0.00,0
101.200.158.109:9200,1755020862,0.00,0
39.102.209.121:3128,1755020862,0.00,0
47.122.56.158:20000,1755020862,0.00,0
8.219.229.53:90,1755020862,0.00,0
47.122.56.158:8008,1755020862,0.00,0
47.121.133.212:80,1755020862,0.00,0
39.102.208.23:9080,1755020862,0.00,0
101.200.158.109:8081,1755020862,0.00,0
14.177.235.17:8080,1755020862,0.00,0
39.104.27.89:8085,1755020862,0.00,0
47.119.20.8:9080,1755020862,0.00,0
8.219.229.53:5060,1755020862,0.00,0
103.38.104.164:7777,1755020862,0.00,0
8.219.229.53:1081,1755020862,0.00,0
39.104.27.89:8888,1755020862,0.00,0
8.219.229.53:8888,1755020862,0.00,0
139.224.186.221:7878,1755020862,0.00,0
47.119.20.8:1111,1755020862,0.00,0
47.122.56.158:3128,1755020862,0.00,0
101.200.158.109:8008,1755020862,0.00,0
196.216.132.43:8080,1755020862,0.00,0
39.101.65.228:8000,1755020862,0.00,0
103.172.17.51:8080,1755020862,0.00,0
47.119.20.8:9098,1755020862,0.00,0
